TEMPERATURE,HUMIDITY,ALTITUDE,PRESSURE,LIGHT,RAIN,CLIMATE_PREDICTION
26.093,82.616,30004.907,2.438,159.62,972.703,Monsoon
29.825,61.291,30183.295,2.372,696.209,757.726,Breeze
29.189,81.488,30218.776,2.5,865.013,243.735,Monsoon
34.458,45.817,30288.506,2.369,162.141,606.853,Summer
32.719,81.972,30877.536,2.463,722.901,758.436,Breeze
26.936,56.666,30420.603,2.457,1055.997,562.117,Summer
37.719,67.865,30679.432,2.445,1065.113,599.201,Monsoon
33.307,54.866,30018.396,2.434,202.979,627.571,Breeze
31.408,86.331,30813.926,2.322,842.883,520.162,Monsoon
38.121,46.158,30240.329,2.499,935.897,361.53,Summer
26.362,62.666,30309.039,2.332,981.191,673.323,Summer
36.054,70.323,30045.256,2.419,376.339,148.158,Monsoon
30.105,70.087,30409.693,2.35,319.027,253.835,Summer
34.735,75.505,30852.577,2.334,81.211,932.735,Monsoon
38.03,74.874,30378.734,2.412,457.435,539.935,Monsoon
32.248,77.898,30908.605,2.467,162.633,839.515,Breeze
25.317,53.309,30867.448,2.375,871.295,753.887,Summer
25.404,59.302,30061.961,2.315,182.974,388.638,Summer
29.628,59.809,30305.272,2.425,906.229,823.284,Monsoon
35.943,85.057,30910.417,2.453,145.147,182.19,Breeze
29.036,61.01,30029.809,2.359,544.259,887.48,Monsoon
29.683,52.762,30765.808,2.438,441.559,712.504,Summer
35.982,70.823,30906.428,2.315,673.652,934.365,Breeze
26.627,61.8,30770.491,2.372,585.086,905.959,Breeze
36.855,54.004,30743.814,2.395,670.53,442.236,Monsoon
28.721,74.466,30843.356,2.456,31.031,871.149,Monsoon
25.717,51.445,30665.79,2.368,166.429,606.714,Breeze
26.643,70.868,30423.096,2.391,583.319,241.403,Summer
38.336,61.943,30062.756,2.426,275.743,846.596,Summer
31.319,57.043,30787.967,2.425,111.659,917.128,Breeze
28.59,84.623,30905.254,2.404,262.94,176.092,Monsoon
32.298,57.274,30511.586,2.366,864.45,937.498,Monsoon
34.553,58.29,30532.51,2.434,609.613,641.138,Summer
29.463,81.308,30403.287,2.467,233.382,123.308,Summer
35.154,48.678,30856.883,2.331,47.097,587.615,Breeze
28.532,47.755,30014.803,2.368,412.627,817.074,Summer
26.573,55.439,30624.549,2.434,412.492,579.863,Summer
32.696,69.032,30907.413,2.451,816.584,736.522,Monsoon
27.116,59.909,30103.222,2.456,1013.797,891.624,Monsoon
38.167,69.776,30959.165,2.431,428.055,882.785,Summer
25.006,50.029,30967.678,2.396,766.302,260.983,Monsoon
35.58,54.504,30929.789,2.429,709.349,484.417,Monsoon
28.913,67.867,30462.546,2.327,481.626,200.049,Monsoon
36.845,52.555,30382.97,2.342,100.502,635.588,Summer
25.842,61.603,30705.948,2.486,536.607,959.254,Monsoon
38.342,68.197,30318.69,2.484,408.928,263.662,Summer
26.42,85.841,30068.344,2.445,618.708,463.267,Summer
36.03,46.515,30901.422,2.365,164.175,958.624,Breeze
32.243,63.258,30634.856,2.43,804.937,775.106,Breeze
31.026,60.436,30207.154,2.438,872.893,164.053,Breeze
28.922,79.267,30018.409,2.403,445.654,485.574,Summer
36.779,82.613,30723.516,2.45,217.545,989.097,Breeze
27.797,82.909,30852.8,2.306,697.228,507.918,Monsoon
35.097,59.506,30405.648,2.351,1052.719,666.461,Breeze
31.241,56.405,30080.898,2.459,779.538,730.879,Summer
38.979,62.762,30648.621,2.488,162.126,697.538,Monsoon
33.56,58.135,30296.929,2.475,455.026,566.847,Monsoon
26.459,74.629,30143.947,2.443,1009.445,219.516,Monsoon
30.873,52.397,30510.397,2.333,708.832,737.573,Breeze
25.928,71.982,30481.844,2.374,187.453,939.995,Breeze
28.999,83.787,30516.77,2.31,805.314,947.527,Breeze
29.806,55.316,30823.932,2.428,408.265,634.05,Breeze
36.944,72.783,30484.546,2.39,553.802,542.978,Monsoon
36.732,49.317,30900.541,2.415,474.1,400.565,Summer
25.162,48.341,30841.811,2.496,806.495,193.212,Breeze
32.452,48.088,30651.116,2.38,263.16,894.806,Summer
28.13,49.095,30056.852,2.361,445.556,223.348,Monsoon
